,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0, , , , , , , , , , , , , , , , ,q,q, , , , , , , , , , , , ,q,q,q,q,q,q, , , , , , , , , , , , , , , , , , , , , , , , ,q, , ,q
1, , , , , , , , , , , , , , , , , ,q,q, , , , , ,q,q,q,q,q,q,q, , ,q, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,q, 
2, , , , , , , , , , , , , , , , , , ,q,q,q,q, ,q,q, , ,q, , ,q, , ,q,q,q,q, , , , , , , , , , , , , , , , , , , , , , , ,q,q, , 
3, , , , , , , , , , , , , , , , ,q, ,q, , ,q,q,q,q, , ,q,q,q,q,q,q, ,q, , , , , , , , , , , , , , , , , , , , , , , , , ,q, , , 
4, , , , , , , , , , , , , , , , , ,q,q, ,q,q, , ,q,q,q, , , , , ,q,q,q,q, ,q, , , , , , , , , , , , , , , , , , , , , ,q, , , , 
5, , ,q,q,q,q, , , , , , , , , , , ,q, , ,q, , , , , ,q, , , , , ,q, , , ,q, , , , , , , , , ,q,q,q,q, , , , , , , , ,q, , , , , 
6, ,q,q, , ,q, , , , , , , , , , , , , , ,q, ,q, , ,q,q, , , , , , , , ,q,q,q,q, , , , , , ,q,q, , ,q,q,q, , , , , , , , , , , , 
7, ,q, , , ,q, , , , , , , , , , , , , , ,q,q,q, ,q,q, , , , , , , , , , , , , , , , , , ,q,q, , , , ,q,q, , , , , , , , , , , , 
8, ,q, , , ,q, , , , , , , , , , , , , , ,q, , ,q, ,q,q,q,q, , , , , , , , , , , , , , , ,q, , , , , , ,q,q,q,q, , , , , , , , , 
9, ,q, , , ,q, , , , , , , , , , , , , , , , , , , ,q, , ,q,q, , , , , , , , , , , , , , ,q, , , , , , ,q, , , , , , , , , , , , 
10,q,q, , , ,q, , , , , , , , , , , , , , , , , , , ,q, , , ,q,q, , , , , , , , , , , , , ,q, , , , , , ,q, , , , , , , , , , , , 
11,q, , , , ,q, , , , , , , , , , , , , , , , , , , ,q, , , , ,q, , , , , , , , , , , , , ,q, , , , , , ,q, , , , , , , , , , , ,q
12, , , , , ,q, , , , , , , , , , , , , , , , , , , ,q, , , , ,q, , , , , , , , , , , , , ,q, , , , , , ,q, , , , , , , , , , , ,q
13, , , , , ,q, , , , , , , , , , , , , , , , , , ,q,q,q,q, , ,q,q, , , , , , , , , , , , ,q, , , , , , ,q, , , , , , , , , , , ,q
14, , , , , ,q, , , , , , , , , , ,q, , , , , ,q,q,q, , ,q,q, , ,q, , , , , , , , , , , , ,q, , , , , , ,q, , , , , , , , , , ,q,q
